title,url,address,
국립대운산치유의숲,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=aac9e0fc-bb7a-48cc-9efe-1b7303347b95&big_category=A01&mid_category=A0101&big_area=7,울산광역시 울주군 온양읍 대운상대길 225-92,
하이원리조트,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=aee00ce5-7107-439d-9fdd-c1f95ee5a23e&con_type=32,강원특별자치도 정선군 고한읍 하이원길 424,
파라다이스 스파 도고,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6b82b7ae-ec7d-48da-8d24-8561dddaff26&big_category=A02&mid_category=A0202&big_area=34,충청남도 아산시 도고면 도고온천로 176,
모나용평,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=912ff714-ea58-42a8-b37c-dfc577b078f2&con_type=32,강원특별자치도 평창군 대관령면 올림픽로 715,
국립산림치유원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=02e139e8-92c9-4d49-b146-1011989c67e2&big_category=A01&mid_category=A0101&big_area=35,경상북도 영주시 봉현면 테라피로 209,
2024 한국 웰니스관광 페스타,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=df5a4500-8c49-4954-9b02-ca9a96c2c537&con_type=10600,,
2024 코리아 헬스 & 웰니스 페스티벌<br> (2024 Korea Health & Wellness Festival),https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=7a1ffa45-3b14-4d1a-a931-c887daafb0fa&con_type=10000,,
"건강과 재미 다 가진 K-전통 체험에 반하다, 한국전통문화체험관",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=6c4bee54-730f-40e0-a0a9-111f3a8680f1&con_type=10600,대구광역시 수성구 달구벌대로527길 13-5,
"해운대 위에서 즐기는 온천 스파&워터파크, 부산 클럽디오아시스",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=571614d1-f732-4355-9a68-86ad5ebb399a&con_type=10600,"부산광역시 해운대구 달맞이길 30, 엘시티 3~6층",
"생명의 바다가 품은 치유의 힘, 완도해양치유센터",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=fadd6afe-2e18-4885-984e-5cc81315119b&con_type=10600,전라남도 완도군 신지면 해양치유길 100,
"프리미엄 리조트, 웰니스를 만나다 - 오크밸리 리조트",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=12bc9bf5-7a5f-4908-b717-f151cd526632&con_type=10600,강원특별자치도 원주시 지정면 오크밸리 1길 66,
웰니스관광 체험주간,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=8378b3aa-035f-48d5-a367-ff40b1393634&con_type=10000,,
"온전한 ‘쉼’을 통해 새로운 나를 만나다, 완주 아원고택",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=17d508c4-f50f-4e64-a8c7-fd5a6d96c2ff&con_type=10600,전북특별자치도 완주군 소양면 송광수만수로 516-7,
"‘잘’ 먹고 ‘제대로’ 쉬는 힐링 라이프, 순창 쉴랜드",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=fca48574-7494-4ccc-8bb0-9b3d7acd7659&con_type=10600,전북특별자치도 순창군 인계면 인덕로 427-128,
"오롯이 쉼, 자연의 숨을 느끼는 진정한 웰니스 여행지, 영주 소백산생태탐방원",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=228ab7b8-30cd-47fc-a815-1882344e9483&con_type=10600,경상북도 영주시 단산면 영단로 253,
"나와 만나는 내 안의 숲, 대구 군위 사유원 ",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=fbb2b8ab-b87f-4bf7-88d0-2cf5ea151b28&con_type=10600,대구광역시 군위군 부계면 치산효령로 1150,
오색 매력 오감 만족 영동의 자연을 닮은 레인보우 힐링센터,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=88c5e997-f67f-4c90-8372-a94cfa601505&con_type=10600,충청북도 영동군 영동읍 영동힐링로 95,
